DATAFLOW,LAST UPDATE,freq,unit,sex,isced11,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,AT:Austria,2014,27.9,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,AT:Austria,2015,27.5,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,AT:Austria,2016,27.3,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,AT:Austria,2017,27.2,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,AT:Austria,2018,27.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,AT:Austria,2019,26.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,AT:Austria,2020,26.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,AT:Austria,2021,27.7,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,AT:Austria,2022,27.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,AT:Austria,2023,28.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BA:Bosnia and Herzegovina,2021,26.6,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BA:Bosnia and Herzegovina,2022,29.3,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BA:Bosnia and Herzegovina,2023,30.2,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BE:Belgium,2014,31.5,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BE:Belgium,2015,31.9,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BE:Belgium,2016,31.7,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BE:Belgium,2017,32.8,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BE:Belgium,2018,33.3,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BE:Belgium,2019,32.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BE:Belgium,2020,32.6,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BE:Belgium,2021,28.8,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BE:Belgium,2022,28.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BE:Belgium,2023,31.5,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BG:Bulgaria,2014,33.6,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BG:Bulgaria,2015,34.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BG:Bulgaria,2016,34.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BG:Bulgaria,2017,35.4,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BG:Bulgaria,2018,33.8,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BG:Bulgaria,2019,36.2,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BG:Bulgaria,2020,38.1,
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BG:Bulgaria,2021,36.4,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BG:Bulgaria,2022,35.0,b
ESTAT:EDAT_LFS_9903(1.0),13/06/24 23:00:00,A:Annual,PC:Percentage,F:Females,"ED0-2:Less than primary, primary and lower secondary education (levels 0-2)",Y15-29:From 15 to 29 years,BG:Bulgaria,2023,32.8,
