DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,AT,2014,15.7,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,AT,2015,15.3,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,AT,2016,17.1,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,AT,2017,16.8,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,AT,2018,13.4,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,AT,2019,12.7,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,AT,2020,14.5,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,AT,2021,18.0,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,AT,2022,16.9,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,AT,2023,17.2,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BE,2014,32.7,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BE,2015,35.6,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BE,2016,29.7,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BE,2017,30.8,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BE,2018,26.1,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BE,2019,20.8,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BE,2020,24.1,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BE,2021,24.7,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BE,2022,22.4,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BE,2023,24.7,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BG,2014,38.7,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BG,2015,34.3,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BG,2016,29.8,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BG,2017,28.7,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BG,2018,21.4,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BG,2019,18.8,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BG,2020,23.5,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BG,2021,27.8,bu
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BG,2022,20.9,bu
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,BG,2023,24.1,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CH,2014,10.0,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CH,2015,10.0,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CH,2016,9.9,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CH,2017,9.0,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CH,2018,9.3,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CH,2019,7.2,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CH,2020,8.9,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CH,2021,11.7,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CH,2022,9.8,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CH,2023,9.9,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CY,2014,13.9,bu
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CY,2015,32.8,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CY,2016,25.6,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CY,2017,23.8,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CY,2018,15.9,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CY,2019,,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CY,2020,,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CY,2021,17.0,bu
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CY,2022,,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,CY,2023,20.4,u
